name,size,about
PHILOS 12A,1,"Syntax, semantics, and proof theory of sentential and predicate logic...."
PHILOS 115,1,Analysis of political obligation and related problems....
PHILOS 116,1,This course is designed to deal with a variety of topics in political philosoph...
PHILOS 133,1,"An introduction to central topics in the philosophy of language, for example th..."
PHILOS 134,1,"How is the meaning of a whole sentence determined by the meanings of its parts,..."
PHILOS 140B,1,"Major concepts, results, and techniques of modern logic. Turing machines, compu..."
PHILOS 143,1,An introduction to the logical study of modality in its many forms: reasoning a...
PHILOS 12A,1,"Syntax, semantics, and proof theory of sentential and predicate logic...."
PHILOS 115,1,Analysis of political obligation and related problems....
PHILOS 116,1,This course is designed to deal with a variety of topics in political philosoph...
PHILOS 133,1,"An introduction to central topics in the philosophy of language, for example th..."
PHILOS 134,1,"How is the meaning of a whole sentence determined by the meanings of its parts,..."
PHILOS 140B,1,"Major concepts, results, and techniques of modern logic. Turing machines, compu..."
PHILOS 143,1,An introduction to the logical study of modality in its many forms: reasoning a...
PHILOS 12A,1,"Syntax, semantics, and proof theory of sentential and predicate logic...."
PHILOS 115,1,Analysis of political obligation and related problems....
PHILOS 116,1,This course is designed to deal with a variety of topics in political philosoph...
PHILOS 133,1,"An introduction to central topics in the philosophy of language, for example th..."
PHILOS 134,1,"How is the meaning of a whole sentence determined by the meanings of its parts,..."
PHILOS 140B,1,"Major concepts, results, and techniques of modern logic. Turing machines, compu..."
PHILOS 143,1,An introduction to the logical study of modality in its many forms: reasoning a...
PHILOS 12A,1,"Syntax, semantics, and proof theory of sentential and predicate logic...."
PHILOS 115,1,Analysis of political obligation and related problems....
PHILOS 116,1,This course is designed to deal with a variety of topics in political philosoph...
PHILOS 133,1,"An introduction to central topics in the philosophy of language, for example th..."
PHILOS 134,1,"How is the meaning of a whole sentence determined by the meanings of its parts,..."
PHILOS 140B,1,"Major concepts, results, and techniques of modern logic. Turing machines, compu..."
PHILOS 143,1,An introduction to the logical study of modality in its many forms: reasoning a...
PHILOS 12A,1,"Syntax, semantics, and proof theory of sentential and predicate logic...."
PHILOS 115,1,Analysis of political obligation and related problems....
PHILOS 116,1,This course is designed to deal with a variety of topics in political philosoph...
PHILOS 133,1,"An introduction to central topics in the philosophy of language, for example th..."
PHILOS 134,1,"How is the meaning of a whole sentence determined by the meanings of its parts,..."
PHILOS 140B,1,"Major concepts, results, and techniques of modern logic. Turing machines, compu..."
PHILOS 143,1,An introduction to the logical study of modality in its many forms: reasoning a...
